Reference, Quantity, Value, Footprint, Datasheet
C10 ,1,"0.33u","Capacitors_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
C11 C12 C13 ,3,"0.1u","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
C14 ,1,"100u","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
C16 ,1,"47u","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm",""
C17 ,1,"10u","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm",""
C1 C2 C3 C4 C5 C6 C7 C8 C9 ,9,"0.1u","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
J1 J3 J4 ,3,"HEADER 2x5","Pin_Headers:Pin_Header_Angled_2x05_Pitch2.54mm",""
J10 ,1,"Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
J11 ,1,"AUDIO OUT","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
J12 ,1,"HEADER 2x20","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm",""
J13 ,1,"Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
J2 ,1,"HEADER 1x6","Pin_Headers:Pin_Header_Angled_1x06_Pitch2.54mm",""
J5 ,1,"TP1","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
J6 ,1,"TP2","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
J7 ,1,"TP4","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
J8 ,1,"TP5","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
J9 ,1,"TP6","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
JP1 ,1,"PIT Test (normally installed)","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
R10 ,1,"3.3k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
R11 ,1,"10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
R1 R2 R3 R4 R5 R6 R7 R8 R9 ,9,"2.2k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
SW1 ,1,"RESET","Buttons_Switches_THT:SW_Tactile_Straight_KSA0Axx1LFTR",""
U1 ,1,"8MHz","Oscillators:Oscillator_DIP-8",""
U10 ,1,"62256","Housings_DIP:DIP-28_W15.24mm_Socket",""
U11 ,1,"27128","Housings_DIP:DIP-28_W15.24mm_Socket",""
U12 ,1,"U3V12F12","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
U13 ,1,"74HCU04","Housings_DIP:DIP-14_W7.62mm_Socket",""
U2 ,1,"MC6809","Housings_DIP:DIP-40_W15.24mm_Socket",""
U3 ,1,"MC6850","Housings_DIP:DIP-24_W15.24mm_Socket",""
U4 ,1,"1.8432MHz","Oscillators:Oscillator_DIP-8",""
U5 ,1,"8255A","Housings_DIP:DIP-40_W15.24mm_Socket",""
U6 ,1,"GAL20V8","Housings_DIP:DIP-24_W7.62mm_Socket",""
U7 ,1,"8254","Housings_DIP:DIP-24_W15.24mm_Socket",""
U8 ,1,"Am9511","Housings_DIP:DIP-24_W15.24mm_Socket",""
U9 ,1,"74LS04","Housings_DIP:DIP-14_W7.62mm_Socket",""